Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,3.125354245196,3.210466345099,3.185153912733,3.052049649758,3.081584737429,3.106748531162,2.990967942365,3.00693847951,2.999816602398,3.023395874448,3.066664323699,3.079602826454,3.120702597506,3.03816775092,3.112712327278,2.991752433923,3.162685387161,3.335071056796,3.306694032264,3.506829209551,3.656922733654,3.399839128428,3.258233617508,3.181075554648,3.241250767984,3.244060447824,3.273323772529,3.238152393523,3.176867992478,2.987467813441,2.983212049701,2.962534872997,2.95525042462,2.976002100045,2.975771729247,3.084907237226,3.153546676615,3.192921524024,3.197771038212,3.258568763473
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.535713465782,0.533357209753,0.536985760168,0.550277364587,0.55238481777,0.555824242057,0.568806832637,0.571936883604,0.574821756089,0.579524748944,0.573180677827,0.577858412204,0.579452439679,0.545588812172,0.537677240232,0.546177765085,0.578141582523,0.565994157603,0.55250768284,0.555550322452,0.564813754889,0.598246674272,0.582016334968,0.60551760699,0.624840728837,0.654775929743,0.672263600713,0.745025729732,0.756628462855,0.79377541922,0.770995756029,0.771103323481,0.760455510819,0.73534769215,0.722137789191,0.787245228743,0.788742989311,0.856193088752,0.978464521295,0.899893565234
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,7.372210736694,7.396041847929,7.377662909636,7.195478644099,7.265026888733,7.401055530036,7.43936698405,7.583890244567,7.725044437313,7.793938077109,7.833651716778,7.787294828544,7.755611106709,7.479210940158,7.504633377728,7.429860555651,7.659491800287,7.583038501992,7.451974495516,6.874910358987,7.049669386917,7.612524104018,7.814391834226,8.340652530484,8.118814044088,7.780606944043,7.280542755067,6.647570045707,6.021285140487,5.720443576897,5.253257686317,4.883797993403,4.632152235362,4.609746131296,4.26946246041,3.845761140419,3.536643560186,3.103799735764,2.991117904597,2.928340254272
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2.977550706206,3.002064387284,2.999843381887,2.933568184623,2.952522681468,2.980502856789,2.925188525984,2.933830180696,2.922226803045,2.909749400276,2.921298332133,2.904792439279,2.948402759229,2.934329872854,2.877245234186,2.963242782914,3.221140399497,3.287386920321,3.283048826527,3.278595817566,3.19462042888,3.203349766813,3.375482029605,3.476151466026,3.441534343902,3.437799433728,3.448962448816,3.511030997916,3.459940261796,3.086976874888,3.413726995952,3.517170380607,3.561350971119,3.440644805258,3.480498296915,3.401377490486,3.369597642599,3.472179293142,3.435566980675,3.419341830876
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.550059581146,0.543702430551,0.549110446312,0.561662550844,0.562467827543,0.567545659036,0.581107628587,0.584529150554,0.587611662281,0.584422779425,0.578985774939,0.573133422623,0.566603313469,0.562823540084,0.562725121469,0.565948653433,0.572587454685,0.559838471653,0.568965066462,0.572213129871,0.565311894528,0.556528286472,0.561547894464,0.539313344053,0.519467289168,0.511384426828,0.52065025501,0.543874317953,0.548184761428,0.560110172296,0.571278491489,0.591195022001,0.58674313319,0.58444459383,0.583197471921,0.578295883647,0.580455874902,0.588808722034,0.593353256572,0.620062564149
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,2.155452955461,2.087713658771,2.103912556631,2.173335659423,2.160054445726,2.165722288521,2.239244649651,2.245205001787,2.260280672101,2.247034063559,2.216277025087,2.197355456826,2.193753184633,2.20729009539,2.198499804823,2.312907674859,2.163414015703,2.086805336539,2.089777339108,2.031255028653,1.964046296505,1.958204737689,1.988852486318,1.975644155519,1.82653898911,1.800154073243,1.783127265239,1.77162957709,1.793336490149,1.880774286046,1.888111524775,1.878531896192,1.845206162938,1.795896568717,1.830001105181,1.735959057959,1.690171756949,1.601753540952,1.51211867594,1.474899539991
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,2.641600667349,2.672007477345,2.661588800499,2.632163486819,2.641917841678,2.655531391458,2.617655469573,2.619135765759,2.59832987844,2.586627633592,2.607716549345,2.603846954058,2.612162171664,2.638305352494,2.640446263261,2.699425442208,2.751936041533,2.74645743225,2.823386032196,2.908789789792,3.00116755322,2.874521762974,2.836645260087,2.869843500178,2.886151750588,2.915934252107,3.012131075066,3.049219624089,3.060475843074,2.938621815327,2.910986320756,2.873325297509,2.975610411159,3.044823704794,3.022896292921,3.079981767466,3.14561438744,3.18236220417,3.186651810046,3.241608851311
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,18.505375369569,18.689290754399,18.646610337638,18.745674238015,18.634523154662,18.257453630902,18.029937606415,17.716974103113,17.495566814745,17.498936665502,17.432932430485,17.594438881747,17.579493605586,18.016181882791,17.931118386253,17.892926482059,17.486494667666,17.544248550863,17.197553350148,17.293948430036,17.486739210978,17.344489379836,17.511701175601,16.983131724007,17.063850373426,16.917430587152,17.045850787664,16.896923163975,17.013348674571,17.309655325472,17.048788536876,17.033083744161,17.069120073874,17.0883544956,17.106647143953,17.309375281067,17.413365716551,17.573995168883,17.662351450097,17.734221770846
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,1.23632003214,1.221406287638,1.21564548182,1.220967805715,1.21378960642,1.213054131821,1.220657847733,1.21982093245,1.218429623507,1.212429112518,1.205339859264,1.195364615267,1.179746947175,1.170989651882,1.177056784339,1.201650323073,1.191198672842,1.157526494833,1.181993375413,1.153225932792,1.109471782423,1.15819576835,1.167865743722,1.217624385659,1.208076468466,1.161260981186,1.151271718045,1.141465575997,1.150633822448,1.194879185681,1.179371228371,1.185245521335,1.185555989033,1.208575123026,1.201012846243,1.163419324842,1.181571426562,1.151537826531,1.142698182818,1.154928840723
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,3.098076239494,3.110508687015,3.118845554123,3.130940642729,3.13925103146,3.149454244119,3.157389136191,3.165973628092,3.170566309795,3.174446195615,3.182445776329,3.181360312581,3.176161502427,3.18671100172,3.166678802957,3.252861524275,3.244567596396,3.222542988528,3.275524059807,3.241054246396,3.262280730943,3.293652003317,3.441698980639,3.490331369593,3.45539777479,3.406016122388,3.42856774107,3.428607324694,3.492556573554,3.529129560393,3.603360114752,3.684933214867,3.699839697434,3.800997134787,3.859331017811,3.943745806564,3.964824373195,4.063399882447,4.028469681867,3.976451722212
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,1.891332632841,1.809784980543,1.818253623677,1.876566081266,1.848535338355,1.838803561885,1.887581170086,1.874386917533,1.867364957931,1.837275258496,1.800135437755,1.77244450351,1.741098700488,1.693611227621,1.710238836809,1.706952118482,1.642483448631,1.580747805227,1.561299246746,1.538629831441,1.479821291373,1.49712744436,1.486409060992,1.45483279844,1.475461284861,1.462570847991,1.432310340725,1.43730291775,1.446145529906,1.474437654863,1.476342111506,1.441792864772,1.413509083769,1.398815417175,1.416921449797,1.384732732127,1.378974451327,1.350817987614,1.359710661038,1.361718041933
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.543640091235,1.535965384007,1.540860356306,1.549428875339,1.550167271128,1.558744314113,1.570922535451,1.575975868408,1.578848162492,1.574925575565,1.577085775854,1.579428495414,1.588018223988,1.585794714337,1.554149467852,1.442326428546,1.504743323023,1.464114699854,1.521989060239,1.501909900215,1.461204307729,1.451392114691,1.44630414057,1.429666968862,1.467735576744,1.424016628412,1.402621150653,1.414682551579,1.449724803053,1.432981300507,1.437415167289,1.44240469083,1.443828092696,1.476624563744,1.512805110168,1.560338979841,1.582999119951,1.558690389785,1.564838440359,1.545881972491
