Descriptores,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<R>,2019<R>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,10937.297,12094.79,12150.163,11371.608,12005.892,12616.056,12299.17,13016.483,13686.818,14682.435,16121.794,17574.389,19820.039,20889.049,23262.914,21369.868,22941.647,24563.454,25893.54,25752.672,22348.055,24699.712,27461.302,29528.55,34109.688,33722.306,34367.017,37486.922,46416.419,51894.654,61465.586,60969.276,60051.351,55344.467,62796.369,63465.437,57153.29800000001,54651.572,52998.691000000006,48252.44
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.752614333341,0.765380203948,0.760070871318,0.736050336807,0.73994049262,0.74284133974,0.719538990063,0.72360220186,0.724006199928,0.733731263497,0.757420378334,0.775803135905,0.800272432579,0.821729845311,0.849568607519,0.83272434751,0.819348233387,0.803768026946,0.775488642259,0.793181443428,0.848378670939,0.924755880428,0.982520477113,0.953970570797,0.97347881508,0.974516797696,1.04298764409,1.186898949979,1.14183935663,1.185300299397,1.234767966354,1.233764884183,1.283710439107,1.342191839381,1.550829018931,1.554875196525,1.659347296666,1.690567618164,1.73950781293,1.732117152535
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,4.036396224714,4.214230654768,4.181581929256,3.934740832096,3.995309467168,4.031340606912,3.756555980468,3.76557428455,3.711808996601,3.729383713637,3.837105152691,3.835273551875,3.886577580517,3.91014711662,4.047695932655,3.744295736788,4.102538827929,4.348769689309,4.282318629998,4.660023842963,4.932627923324,4.375557302911,4.054023075624,3.728835684218,3.870014897133,3.79906150837,3.939436688015,3.89521289417,3.834961158868,3.376670432187,3.370548777488,3.262246568535,3.266262606144,3.286303515758,3.34647643865,3.652334627278,3.774702527902,3.888099260191,3.99055747838,4.168610972729
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.391895280584,0.388885332777,0.392900287551,0.40612688532,0.410829898904,0.417898864816,0.439768901803,0.449509315403,0.459755557103,0.462154197757,0.453406014094,0.436494373533,0.393369688425,0.35775613422,0.340477074073,0.312299982149,0.35185046117,0.356436648604,0.383027456868,0.409146082009,0.421878668805,0.50202085326,0.461252598007,0.471001809019,0.488748667095,0.476800556557,0.489922675435,0.615594349063,0.687896768349,0.80546117907,0.684546445351,0.673990102011,0.621306575861,0.583806174291,0.537255499032,0.70890388865,0.667312320677,0.853197980356,1.181559546698,0.858227234744
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,17.204544566444,17.072323751251,17.202057060335,17.659780396079,17.695497082346,17.769637643921,18.360886325858,18.501977405615,18.758284390177,18.892257615579,18.833400041083,18.921079176226,18.796130596546,18.52355137057,18.483277482542,19.144382123278,18.965431246072,18.610101169138,18.212996524601,16.925012456226,17.478083056643,19.278125554855,20.115936134415,21.442776984921,20.82582803846,19.911161805798,18.589483930039,17.118134241729,15.656895083293,15.141063153451,13.872038500783,12.877451941894,12.244714460422,12.361471333675,11.359356319857,10.312352781527,9.635234634243,8.50315159341,8.269524845224,8.201827210152
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,4.167364078491,4.262865538358,4.265906521115,4.170211892356,4.202926685023,4.215100945302,4.061148199238,4.029967139643,3.953476627984,3.911936375721,3.933273305491,3.918267335039,4.014700653226,4.035753933374,3.909991037347,4.064531432981,4.642635852516,4.801343900557,4.693102198521,4.702687723156,4.552831236205,4.622244733139,5.033548658424,5.247110100281,5.132848690305,5.049072576468,5.114761788332,5.306628213025,5.257337808088,4.254693732042,5.143715524789,5.440021515588,5.605476680509,5.329862507808,5.475142071934,5.347294605517,5.339774237526,5.718096381246,5.654202947746,5.630063391364
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.473295471,0.472004567941,0.46875574817,0.46431416065,0.462207581838,0.460162320185,0.45919097207,0.458312273728,0.458332491003,0.457011296121,0.452084213398,0.447658926491,0.439978397791,0.444015678043,0.447200630976,0.453061132285,0.44439032801,0.431642177671,0.441009101995,0.455917859992,0.478539139728,0.465887040926,0.478508445498,0.420002272418,0.377389181461,0.347337963436,0.363247347249,0.407023783206,0.409671250553,0.438547776271,0.447222228424,0.493522921241,0.487741608932,0.489067138095,0.464234177796,0.469830563169,0.470705396072,0.465285995752,0.455307210835,0.54027170276
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,1.911584825769,1.860883619824,1.894820183651,2.015667452185,2.012623365097,2.018490675417,2.142927192517,2.155419307885,2.188873858815,2.193873046897,2.163764671781,2.170475996489,2.193625881217,2.311241759583,2.304764026601,2.535275881212,2.223569029016,2.08820793741,2.113726941138,1.901555783453,1.756399351144,1.753337914819,1.793823171653,1.776401088197,1.436596188143,1.387941016782,1.437884600858,1.35052521828,1.470129193154,1.612108999805,1.721219621353,1.682969345769,1.646792584729,1.480523755266,1.558095076654,1.420165721125,1.300708343696,1.119951934068,0.995539605904,0.887238837576
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,2.782676192937,2.850329090297,2.850333090187,2.780905852914,2.806997192997,2.820611960979,2.723829542033,2.712335141878,2.670451191752,2.646894205065,2.653509604366,2.62762344348,2.652107821873,2.714464918646,2.764418855609,2.884150477822,2.949381295159,2.901454710426,3.056031493671,3.218410037536,3.413880608308,3.10878144749,3.02536479258,3.039169364592,3.10370450964,3.140856523566,3.29647772262,3.374129873501,3.400709898651,3.230654698726,3.139777052488,3.072746740497,3.394472333039,3.603686572012,3.591982127555,3.733211092535,3.973362329151,4.077328948677,4.089418280989,4.29269081262
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,8.633523455217,8.273634599234,8.183632584538,8.285631212419,8.07610347073,7.897902688211,7.927841503274,7.764165582573,7.642221220341,7.493814529977,7.32114551397,7.20554024015,7.071628308447,7.027132468478,6.823056067566,6.431474013969,6.065539459727,6.23861350482,5.980170222295,5.979462576977,6.229441156589,6.345582679193,6.610276755566,6.250254502518,6.223337276111,6.133253287422,6.474332778518,6.215198561763,6.042857216314,6.331933030353,5.768289437826,5.88141951076,5.901627571567,5.596539689611,5.678414014191,5.284678248117,5.533648868761,5.608150147971,5.599008762809,5.547509304895
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,1.084997661761,1.083878798402,1.076095158489,1.063216067045,1.059170008184,1.055208192485,1.050247636368,1.049534885089,1.050842483995,1.050612908886,1.042245346042,1.029771913235,1.000094858609,0.982946659335,1.016724615398,1.030297260721,0.997028426742,0.996760897675,1.006388791032,1.01964628626,0.953608249865,1.03790268412,1.036660535631,1.088280488115,1.060360096214,0.974689088657,0.944418059989,0.949212701048,0.975197486539,1.054186501836,1.029964777038,1.096838631301,1.084562326417,1.145758679783,1.147939014122,1.09777991782,1.123102526748,1.095699532056,1.113185471986,1.170611884676
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,2.649584295094,2.675299306063,2.65344975,2.584174901219,2.585477555149,2.583711648532,2.521865392026,2.522501451224,2.514095325475,2.51797744043,2.531345882342,2.51311971765,2.486912171844,2.437628556427,2.423243556851,2.559575926809,2.587814732486,2.614566872782,2.747316728362,2.769394326975,2.838364755762,2.821750259269,3.09855333453,3.243833030642,3.205488186885,3.133622636989,3.224382066436,3.181049563599,3.287498074997,3.347866350457,3.458587263275,3.609462332971,3.693164041665,3.979311152822,4.238464827041,4.570340436507,4.716632105232,4.884997546024,4.689435593527,4.608783472792
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,0.630840814534,0.64403768574,0.639379317997,0.619535006431,0.623372366876,0.626493921409,0.61528850317,0.624131397622,0.635841018071,0.656212678575,0.683942899322,0.713372165879,0.734024974593,0.729575363217,0.825194442961,0.716790659201,0.67836687799,0.678253847535,0.649178607749,0.578064323142,0.515318089199,0.599326033898,0.638554403314,0.608121985329,0.642665061213,0.64315388719,0.6625651181,0.721631080526,0.786315296427,0.779039721122,0.786806726358,0.752937123224,0.756926783346,0.809567499292,0.856889277118,0.788585370277,0.808923399459,0.774164484002,0.808456597381,0.828246703381
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Hidalgo<C1>,1.492546269634,1.51209670772,1.508521456357,1.486479254842,1.49236839479,1.495654015999,1.481718256131,1.48714542527,1.494226656774,1.510077655295,1.537002447713,1.578714133448,1.637751453384,1.687509998652,1.663517392431,1.436003935614,1.556921008146,1.47129346012,1.579961426259,1.549592931507,1.444951025872,1.442393060663,1.442058164638,1.413367527601,1.552797060497,1.453954249398,1.377699146266,1.443917976627,1.493809923369,1.486615622448,1.43865360408,1.441071634277,1.439926597242,1.459155418846,1.524834938179,1.636707975986,1.674082464408,1.613500749769,1.618729622676,1.60991380957
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Jalisco<C1>,6.752338169372,6.782177808938,6.712072674171,6.548558081755,6.526329922497,6.498060153425,6.368834782933,6.350580080864,6.322647643236,6.313984950709,6.315888190443,6.28112455029,6.255685873998,6.21439144989,6.094421436121,5.912563910615,5.749883270202,5.889479380311,6.125744613427,6.239703932642,6.362511691907,5.99743358423,5.858138848362,5.565825903288,5.387282245266,5.53639612693,5.687735299567,5.796320873575,5.656115652649,5.619584413357,5.765001386891,5.728989246779,5.798315755602,5.991027781871,6.323539321997,6.60911744551,6.601041652325,6.735280082668,6.72932592107,6.863817963481
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|México<C1>,9.718192489359,9.454247977737,9.475632069754,9.710976274298,9.55919092427,9.424437199046,9.518580546545,9.36373064929,9.237950040903,9.068203481439,8.866228195683,8.711174753337,8.526502991656,8.432747716596,8.13017192043,7.933855404587,8.044587039607,8.202250009306,8.048675777628,8.201447569682,8.180546323167,8.01118747102,7.700191562361,7.234465713504,7.048285737709,6.971243746838,6.854419925216,6.855056645602,6.860521105757,6.863251899644,7.280390766051,7.352668975455,7.257817985634,7.374987365009,7.087701220642,7.021944827362,7.044626994267,7.55502048477,7.699337061838,7.305409642789
